Subbasin,Year,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
11,2003,10520.46766,10719.20714,10719.20714,10719.20714,10694.46044,10694.46044,10694.46044,10674.89641,10674.89641,10674.89641,10720.83219,10720.83219,10720.83219,10696.31776,10696.31776,10696.31776,10676.87602,10676.87602,10676.87602,10710.92392,10710.92392,10710.92392,10684.43947,10684.43947,10684.43947,10663.21649,10663.21649,10663.21649,10714.32401,10714.32401,10714.32401,10686.53863,10686.53863,10686.53863,10665.46531,10665.46531,10665.46531,10703.14005,10703.14005,10703.14005,10672.83698,10672.83698,10672.83698,10649.53418,10649.53418,10649.53418,10704.64211,10704.64211,10704.64211,10675.15075,10675.15075,10675.15075,10652.02602,10652.02602,10652.02602,,10520.46766,10520.46766,10520.46766,10520.46766,10520.46766,10520.46766
12,2003,10650.3672,10844.00632,10844.00632,10844.00632,10809.56668,10809.56668,10809.56668,10776.1019,10776.1019,10776.1019,10847.74834,10847.74834,10847.74834,10814.3161,10814.3161,10814.3161,10781.87372,10781.87372,10781.87372,10834.63777,10834.63777,10834.63777,10797.02379,10797.02379,10797.02379,10760.69687,10760.69687,10760.69687,10839.11161,10839.11161,10839.11161,10801.5811,10801.5811,10801.5811,10766.73208,10766.73208,10766.73208,10823.77377,10823.77377,10823.77377,10782.62507,10782.62507,10782.62507,10743.32304,10743.32304,10743.32304,10829.2641,10829.2641,10829.2641,10787.5615,10787.5615,10787.5615,10749.81654,10749.81654,10749.81654,,10650.3672,10650.3672,10650.3672,10650.3672,10650.3672,10650.3672
13,2003,10637.76681,10829.75654,10829.75654,10829.75654,10792.2681,10792.2681,10792.2681,10725.1784,10725.1784,10725.1784,10833.06472,10833.06472,10833.06472,10797.23408,10797.23408,10797.23408,10733.58951,10733.58951,10733.58951,10819.04856,10819.04856,10819.04856,10778.20153,10778.20153,10778.20153,10705.95028,10705.95028,10705.95028,10822.94802,10822.94802,10822.94802,10782.61956,10782.61956,10782.61956,10713.82691,10713.82691,10713.82691,10806.70544,10806.70544,10806.70544,10761.93938,10761.93938,10761.93938,10684.56441,10684.56441,10684.56441,10811.12907,10811.12907,10811.12907,10766.74019,10766.74019,10766.74019,10692.6317,10692.6317,10692.6317,,10637.76681,10637.76681,10637.76681,10637.76681,10637.76681,10637.76681
14,2003,11513.77966,11714.18835,11714.18835,11714.18835,11688.04815,11688.04815,11688.04815,11664.80831,11664.80831,11664.80831,11719.07797,11719.07797,11719.07797,11695.30117,11695.30117,11695.30117,11671.29704,11671.29704,11671.29704,11698.97436,11698.97436,11698.97436,11668.84441,11668.84441,11668.84441,11643.47895,11643.47895,11643.47895,11704.10636,11704.10636,11704.10636,11674.95888,11674.95888,11674.95888,11650.4216,11650.4216,11650.4216,11680.90406,11680.90406,11680.90406,11647.0696,11647.0696,11647.0696,11619.06848,11619.06848,11619.06848,11685.73308,11685.73308,11685.73308,11653.85168,11653.85168,11653.85168,11626.35321,11626.35321,11626.35321,,11513.77966,11513.77966,11513.77966,11513.77966,11513.77966,11513.77966
15,2003,10823.98283,11018.47362,11018.47362,11018.47362,10990.65125,10990.65125,10990.65125,10943.10835,10943.10835,10943.10835,11021.89862,11021.89862,11021.89862,10997.22679,10997.22679,10997.22679,10951.24274,10951.24274,10951.24274,11004.80387,11004.80387,11004.80387,10973.82679,10973.82679,10973.82679,10921.82568,10921.82568,10921.82568,11007.16527,11007.16527,11007.16527,10980.08641,10980.08641,10980.08641,10929.40217,10929.40217,10929.40217,10988.78811,10988.78811,10988.78811,10953.24658,10953.24658,10953.24658,10898.18451,10898.18451,10898.18451,10990.1574,10990.1574,10990.1574,10959.81341,10959.81341,10959.81341,10905.7128,10905.7128,10905.7128,,10883.71356,10823.98283,10823.98283,10883.71356,10883.71356,10823.98283
16,2003,11492.81276,11691.62429,11691.62429,11691.62429,11670.29781,11670.29781,11670.29781,11650.63336,11650.63336,11650.63336,11697.85154,11697.85154,11697.85154,11677.98095,11677.98095,11677.98095,11656.11749,11656.11749,11656.11749,11675.64337,11675.64337,11675.64337,11651.11539,11651.11539,11651.11539,11629.59271,11629.59271,11629.59271,11681.60896,11681.60896,11681.60896,11656.7262,11656.7262,11656.7262,11635.29739,11635.29739,11635.29739,11656.91751,11656.91751,11656.91751,11629.51219,11629.51219,11629.51219,11605.68994,11605.68994,11605.68994,11661.1086,11661.1086,11661.1086,11635.60572,11635.60572,11635.60572,11611.90088,11611.90088,11611.90088,,11492.81276,11492.81276,11492.81276,11492.81276,11492.81276,11492.81276
17,2003,10772.13134,10950.86863,10950.86863,10950.86863,10810.6778,10810.6778,10810.6778,10598.15341,10598.15341,10598.15341,10961.21049,10961.21049,10961.21049,10838.06755,10838.06755,10838.06755,10615.26512,10615.26512,10615.26512,10931.91754,10931.91754,10931.91754,10783.57782,10783.57782,10783.57782,10566.44376,10566.44376,10566.44376,10943.46229,10943.46229,10943.46229,10811.65437,10811.65437,10811.65437,10583.98429,10583.98429,10583.98429,10909.9809,10909.9809,10909.9809,10754.01309,10754.01309,10754.01309,10532.90962,10532.90962,10532.90962,10923.11981,10923.11981,10923.11981,10781.46962,10781.46962,10781.46962,10550.25691,10550.25691,10550.25691,,10772.13134,10772.13134,10772.13134,10772.13134,10772.13134,10772.13134
18,2003,10841.26663,11035.60941,11035.60941,11035.60941,11020.03826,11020.03826,11020.03826,11008.66783,11008.66783,11008.66783,11041.49074,11041.49074,11041.49074,11025.42075,11025.42075,11025.42075,11012.95043,11012.95043,11012.95043,11025.18979,11025.18979,11025.18979,11007.76909,11007.76909,11007.76909,10994.24933,10994.24933,10994.24933,11031.29394,11031.29394,11031.29394,11013.58893,11013.58893,11013.58893,10999.7212,10999.7212,10999.7212,11013.24601,11013.24601,11013.24601,10993.65854,10993.65854,10993.65854,10979.02665,10979.02665,10979.02665,11018.18838,11018.18838,11018.18838,10999.36819,10999.36819,10999.36819,10984.92863,10984.92863,10984.92863,,10841.26663,10841.26663,10841.26663,10841.26663,10841.26663,10841.26663
19,2003,11231.58111,11412.44144,11412.44144,11412.44144,11362.15858,11362.15858,11362.15858,11314.63495,11314.63495,11314.63495,11416.29071,11416.29071,11416.29071,11369.47505,11369.47505,11369.47505,11321.8173,11321.8173,11321.8173,11394.68264,11394.68264,11394.68264,11335.38196,11335.38196,11335.38196,11284.87312,11284.87312,11284.87312,11399.44365,11399.44365,11399.44365,11342.01648,11342.01648,11342.01648,11292.3299,11292.3299,11292.3299,11371.01508,11371.01508,11371.01508,11306.28241,11306.28241,11306.28241,11250.30504,11250.30504,11250.30504,11377.51933,11377.51933,11377.51933,11312.84493,11312.84493,11312.84493,11259.09755,11259.09755,11259.09755,,11231.58111,11231.58111,11231.58111,11231.58111,11231.58111,11231.58111
20,2003,10793.7784,10980.83613,10980.83613,10980.83613,10969.31018,10969.31018,10969.31018,10958.60328,10958.60328,10958.60328,10984.85545,10984.85545,10984.85545,10975.88492,10975.88492,10975.88492,10963.39657,10963.39657,10963.39657,10966.26704,10966.26704,10966.26704,10953.79123,10953.79123,10953.79123,10941.9981,10941.9981,10941.9981,10970.52926,10970.52926,10970.52926,10960.49013,10960.49013,10960.49013,10947.03672,10947.03672,10947.03672,10950.14495,10950.14495,10950.14495,10936.00718,10936.00718,10936.00718,10922.98664,10922.98664,10922.98664,10954.65571,10954.65571,10954.65571,10943.43955,10943.43955,10943.43955,10928.14724,10928.14724,10928.14724,,10793.7784,10793.7784,10793.7784,10793.7784,10793.7784,10793.7784
21,2003,10792.90124,10979.82124,10979.82124,10979.82124,10967.40319,10967.40319,10967.40319,10955.35702,10955.35702,10955.35702,10983.9882,10983.9882,10983.9882,10973.94933,10973.94933,10973.94933,10960.45331,10960.45331,10960.45331,10965.13427,10965.13427,10965.13427,10951.63788,10951.63788,10951.63788,10938.41095,10938.41095,10938.41095,10969.54359,10969.54359,10969.54359,10958.33761,10958.33761,10958.33761,10943.78375,10943.78375,10943.78375,10948.84369,10948.84369,10948.84369,10933.47813,10933.47813,10933.47813,10919.04188,10919.04188,10919.04188,10953.52494,10953.52494,10953.52494,10941.07685,10941.07685,10941.07685,10924.38866,10924.38866,10924.38866,,10792.90124,10792.90124,10792.90124,10792.90124,10792.90124,10792.90124
22,2003,10795.41639,10982.73639,10982.73639,10982.73639,10973.18639,10973.18639,10973.18639,10964.94639,10964.94639,10964.94639,10986.47639,10986.47639,10986.47639,10979.80279,10979.80279,10979.80279,10969.15279,10969.15279,10969.15279,10968.37639,10968.37639,10968.37639,10958.16639,10958.16639,10958.16639,10948.98639,10948.98639,10948.98639,10972.34639,10972.34639,10972.34639,10964.84279,10964.84279,10964.84279,10953.40639,10953.40639,10953.40639,10952.59279,10952.59279,10952.59279,10941.22279,10941.22279,10941.22279,10930.74279,10930.74279,10930.74279,10956.76279,10956.76279,10956.76279,10948.32279,10948.32279,10948.32279,10935.49639,10935.49639,10935.49639,,10795.41639,10795.41639,10795.41639,10795.41639,10795.41639,10795.41639
23,2003,10550.60371,10740.10933,10740.10933,10740.10933,10724.66627,10724.66627,10724.66627,10700.79303,10700.79303,10700.79303,10743.46899,10743.46899,10743.46899,10729.51664,10729.51664,10729.51664,10705.35369,10705.35369,10705.35369,10728.51311,10728.51311,10728.51311,10711.6694,10711.6694,10711.6694,10685.38849,10685.38849,10685.38849,10732.24622,10732.24622,10732.24622,10716.8817,10716.8817,10716.8817,10690.24244,10690.24244,10690.24244,10715.56962,10715.56962,10715.56962,10695.07558,10695.07558,10695.07558,10667.91218,10667.91218,10667.91218,10719.7242,10719.7242,10719.7242,10702.45725,10702.45725,10702.45725,10673.07004,10673.07004,10673.07004,,10550.60371,10550.60371,10550.60371,10550.60371,10550.60371,10550.60371
24,2003,10793.89183,10992.09226,10992.09226,10992.09226,10988.56367,10988.56367,10988.56367,10987.49896,10987.49896,10987.49896,10993.82293,10993.82293,10993.82293,10989.73192,10989.73192,10989.73192,10988.50651,10988.50651,10988.50651,10981.90864,10981.90864,10981.90864,10979.66333,10979.66333,10979.66333,10978.3126,10978.3126,10978.3126,10984.70304,10984.70304,10984.70304,10981.05712,10981.05712,10981.05712,10979.53225,10979.53225,10979.53225,10971.81918,10971.81918,10971.81918,10969.044,10969.044,10969.044,10967.35394,10967.35394,10967.35394,10974.90229,10974.90229,10974.90229,10970.65085,10970.65085,10970.65085,10968.84449,10968.84449,10968.84449,,10793.89183,10793.89183,10793.89183,10793.89183,10793.89183,10793.89183
25,2003,10732.89587,10910.51657,10910.51657,10910.51657,10947.77684,10947.77684,10947.77684,10930.0962,10930.0962,10930.0962,10911.3404,10911.3404,10911.3404,10950.12034,10950.12034,10950.12034,10942.61614,10942.61614,10942.61614,10897.65939,10897.65939,10897.65939,10934.01287,10934.01287,10934.01287,10911.10826,10911.10826,10911.10826,10898.70294,10898.70294,10898.70294,10936.69005,10936.69005,10936.69005,10913.80026,10913.80026,10913.80026,10882.46072,10882.46072,10882.46072,10917.82927,10917.82927,10917.82927,10888.30912,10888.30912,10888.30912,10883.80405,10883.80405,10883.80405,10919.24877,10919.24877,10919.24877,10891.35602,10891.35602,10891.35602,,10732.89587,10732.89587,10732.89587,10732.89587,10732.89587,10732.89587
26,2003,10401.41521,10572.32562,10572.32562,10572.32562,10468.40343,10468.40343,10468.40343,10374.11823,10374.11823,10374.11823,10578.06069,10578.06069,10578.06069,10474.71404,10474.71404,10474.71404,10389.29776,10389.29776,10389.29776,10551.13651,10551.13651,10551.13651,10440.4645,10440.4645,10440.4645,10347.78921,10347.78921,10347.78921,10555.57057,10555.57057,10555.57057,10450.42857,10450.42857,10450.42857,10362.86506,10362.86506,10362.86506,10527.72937,10527.72937,10527.72937,10413.68796,10413.68796,10413.68796,10319.07617,10319.07617,10319.07617,10532.36239,10532.36239,10532.36239,10424.15303,10424.15303,10424.15303,10334.48317,10334.48317,10334.48317,,10401.41521,10401.41521,10401.41521,10401.41521,10401.41521,10401.41521
27,2003,10550.7209,10747.46921,10747.46921,10747.46921,10754.39394,10754.39394,10754.39394,10755.9949,10755.9949,10755.9949,10750.68907,10750.68907,10750.68907,10757.19537,10757.19537,10757.19537,10758.42377,10758.42377,10758.42377,10734.87346,10734.87346,10734.87346,10742.77672,10742.77672,10742.77672,10744.047,10744.047,10744.047,10740.16345,10740.16345,10740.16345,10746.81571,10746.81571,10746.81571,10748.37604,10748.37604,10748.37604,10721.4131,10721.4131,10721.4131,10730.04002,10730.04002,10730.04002,10730.94488,10730.94488,10730.94488,10727.12713,10727.12713,10727.12713,10734.90462,10734.90462,10734.90462,10735.05069,10735.05069,10735.05069,,10550.7209,10550.7209,10550.7209,10550.7209,10550.7209,10550.7209
28,2003,10755.75167,10954.0346,10954.0346,10954.0346,10952.11176,10952.11176,10952.11176,10951.60364,10951.60364,10951.60364,10955.81792,10955.81792,10955.81792,10954.10331,10954.10331,10954.10331,10953.38148,10953.38148,10953.38148,10945.51045,10945.51045,10945.51045,10943.05225,10943.05225,10943.05225,10940.80559,10940.80559,10940.80559,10947.00195,10947.00195,10947.00195,10944.91345,10944.91345,10944.91345,10944.03147,10944.03147,10944.03147,10935.86998,10935.86998,10935.86998,10930.86635,10930.86635,10930.86635,10930.07407,10930.07407,10930.07407,10937.59794,10937.59794,10937.59794,10935.01352,10935.01352,10935.01352,10931.78471,10931.78471,10931.78471,,10755.75167,10755.75167,10755.75167,10755.75167,10755.75167,10755.75167
29,2003,10632.50849,10827.34354,10827.34354,10827.34354,10834.2129,10834.2129,10834.2129,10835.34173,10835.34173,10835.34173,10829.26292,10829.26292,10829.26292,10836.28659,10836.28659,10836.28659,10837.399,10837.399,10837.399,10820.58573,10820.58573,10820.58573,10824.47243,10824.47243,10824.47243,10825.34812,10825.34812,10825.34812,10822.65847,10822.65847,10822.65847,10828.73078,10828.73078,10828.73078,10828.43258,10828.43258,10828.43258,10810.1129,10810.1129,10810.1129,10814.29491,10814.29491,10814.29491,10814.5893,10814.5893,10814.5893,10813.17646,10813.17646,10813.17646,10817.98487,10817.98487,10817.98487,10816.89532,10816.89532,10816.89532,,10632.50849,10632.50849,10632.50849,10632.50849,10632.50849,10632.50849
